question_id,category,question,k1_answer,k1_runtime_seconds,k1_top1_title,k1_top1_score,k1_retrieved_titles,k1_label,k3_answer,k3_runtime_seconds,k3_top1_title,k3_top1_score,k3_retrieved_titles,k3_label,k5_answer,k5_runtime_seconds,k5_top1_title,k5_top1_score,k5_retrieved_titles,k5_label,notes
definition_01,definition,What is anarchism?,political philosophy and movement,0.5388,Anarchism,0.825357,Anarchism,0,"a political philosophy and movement that seeks to abolish all institutions that perpetuate authority, coercion, or hierarchy, primarily targeting the state and capitalism.",2.3204,Anarchism,0.825357,Anarchism | Anarchism | Anarchism,1,"a political philosophy and movement that seeks to abolish all institutions that perpetuate authority, coercion, or hierarchy, primarily targeting the state and capitalism. Anarchism advocates for the replacement of the state with stateless societies and voluntary free associations. Anarchism is contrasted to socialist forms",2.1243,Anarchism,0.825357,Anarchism | Anarchism | Anarchism | Anarchism | Anarchism,1,
geography_01,geography,Where is Alabama located?,Alabama is located in the southern part of the United States.,0.5016,Alabama,0.695951,Alabama,1,Southeastern United States in North America,0.5465,Alabama,0.695951,Alabama | Alabama | Geography of Alabama,1,Southeastern and Deep Southern regions of the United States.,0.5858,Alabama,0.695951,Alabama | Alabama | Geography of Alabama | Alabama | Alabama,1,
science_01,science,What is albedo?,The fraction of sunlight that is diffusely reflected by a body.,0.5421,Albedo,0.770847,Albedo,1,The fraction of sunlight that is diffusely reflected by a body.,0.7608,Albedo,0.770847,Albedo | Albedo | Albedo,1,The fraction of sunlight that is diffusely reflected by a body.,0.7018,Albedo,0.770847,Albedo | Albedo | Albedo | Albedo | Albedo,1,
science_02,science,What is an atom?,particles,0.2173,History of atomic theory,0.735811,History of atomic theory,0,particles,0.3963,History of atomic theory,0.735811,History of atomic theory | Atom | Atomic physics,1,The basic particles of the chemical elements and the fundamental building blocks of matter.,0.7063,History of atomic theory,0.735811,History of atomic theory | Atom | Atomic physics | Atom | Elementary particle,1,
education_01,education,What is an academy?,An educational institution which prepares candidates for service in the officer corps.,0.4864,Military academy,0.650876,Military academy,-1,A military university public higher education establishment whose mission is to train officers of the Permanent Staff of the Army.,0.9276,Military academy,0.650876,Military academy | Angolan Armed Forces | Military academy,0,An educational institution which prepares candidates for service in the officer corps.,0.6732,Military academy,0.650876,Military academy | Angolan Armed Forces | Military academy | Military academy | Military academy,0,
geography_02,geography,What is the capital of Alabama?,Montgomery,0.2223,Alabama,0.70293,Alabama,1,Montgomery,0.3986,Alabama,0.70293,Alabama | Alabama | Alabama,1,Montgomery,0.3329,Alabama,0.70293,Alabama | Alabama | Alabama | Alabama | Alabama,1,
geography_03,geography,What is the largest city in Alabama?,Huntsville,0.2407,Alabama,0.671286,Alabama,1,Huntsville,0.4183,Alabama,0.671286,Alabama | Alabama | Alabama,1,Huntsville,0.4086,Alabama,0.671286,Alabama | Alabama | Alabama | Alabama | Alabama,1,
history_01,history,Who was Abraham Lincoln?,president of the United States,0.3119,Abraham Lincoln,0.673933,Abraham Lincoln,0,president of the United States,0.4783,Abraham Lincoln,0.673933,Abraham Lincoln | Emancipation Proclamation | Andrew Johnson,1,president of the United States,0.4821,Abraham Lincoln,0.673933,Abraham Lincoln | Emancipation Proclamation | Andrew Johnson | Emancipation Proclamation | Abraham Lincoln,1,
history_02,history,What was the American Civil War?,Civil war,0.2293,American Civil War,0.73879,American Civil War,0,Civil war,0.4031,American Civil War,0.73879,American Civil War | American Civil War | African Americans,1,Civil War,0.4019,American Civil War,0.73879,American Civil War | American Civil War | African Americans | Confederate States of America | American Civil War,1,
philosophy_01,philosophy,Who was Aristotle?,Greek philosopher and polymath,0.362,Aristotle,0.711626,Aristotle,1,Greek philosopher and polymath,0.5306,Aristotle,0.711626,Aristotle | Aristotle | Aristotle,1,Greek philosopher and polymath,0.488,Aristotle,0.711626,Aristotle | Aristotle | Aristotle | Aristotle | Aristotle,1,
science_03,science,What is astronomy?,I don't know.,0.3304,Astronomer,0.735887,Astronomer,1,A hobby,0.4085,Astronomer,0.735887,Astronomer | Astronomer | Amateur astronomy,-1,a scientist in the field of astronomy who focuses on a specific question or field outside the scope of Earth.,0.943,Astronomer,0.735887,Astronomer | Astronomer | Amateur astronomy | History of astronomy | Archaeoastronomy,-1,
