question_id,category,question,Dense Answer,Dense Runtime,Dense Top-1 Title,Dense Top-1 Score,Dense Retrieved Titles,Dense Score,BM25 Answer,BM25 Runtime,BM25 Top-1 Title,BM25 Top-1 Score,BM25 Retrieved Titles,BM25 Score,Notes
definition_01,definition,What is anarchism?,"Anarchism is a political philosophy and movement that seeks to abolish all institutions that perpetuate authority, coercion, or hierarchy, primarily targeting the state and capitalism. Anarchism advocates for the replacement of the state with stateless societies and voluntary free associations.",17.1456,Anarchism,0.825357199,Anarchism | Anarchism | Anarchism,1,Anarchism is a political philosophy that advocates self-governed societies based on voluntary institutions.,7.5475,Anarchism,17.81507683,Anarchism | Individualism | Individualism,1,
geography_01,geography,Where is Alabama located?,"Alabama is located in the Southeastern and Deep Southern regions of the United States. It borders Tennessee to the north, Georgia to the east, Florida and the Gulf of Mexico to the south, and Mississippi to the west.",11.8643,Alabama,0.695950687,Alabama | Alabama | Geography of Alabama,1,"Alabama is located in the middle of the Bible Belt, a region of numerous Protestant Christians.",5.0304,Alabama River,16.15890121,Alabama River | Alabama | Alabama,1,
science_01,science,What is albedo?,Albedo is the fraction of sunlight that is diffusely reflected by a body. It is measured on a scale from 0 (corresponding to a black body that absorbs all incident radiation) to 1 (corresponding to a body that reflects all incident radiation).,15.5414,Albedo,0.770846903,Albedo | Albedo | Albedo,1,Albedo is the measure of how much radiation a planet absorbs.,3.8531,Albedo,18.57260895,Albedo | Albedo | Albedo,1,
science_02,science,What is an atom?,"An atom is the basic particle of the chemical elements and the fundamental building blocks of matter. An atom consists of a nucleus of protons and generally neutrons, surrounded by an electromagnetically bound swarm of electrons. The chemical elements are distinguished from each other by the number of protons that are in their atoms",16.3445,History of atomic theory,0.735810637,History of atomic theory | Atom | Atomic physics,1,"An atom is composed of a nucleus containing protons and neutrons, with electrons orbiting around the nucleus. The nucleus is positively charged due to protons, while electrons are negatively charged, which binds them to the nucleus. If the numbers of protons and electrons are equal, the",14.1205,Gilbert N. Lewis,16.18489456,Gilbert N. Lewis | Atom | Cahn–Ingold–Prelog priority rules,0.5,
education_01,education,What is an academy?,A military academy is an educational institution which prepares candidates for service in the officer corps.,5.1915,Military academy,0.650876164,Military academy | Angolan Armed Forces | Military academy,0.5,"An academy is an institution that awards an outstanding student the prestigious prize, which funded a 3- to 5-year stay in Rome.",8.1085,Jacques-Louis David,12.17565441,Jacques-Louis David | Joseph Lister | Drexel University,0.5,
geography_02,geography,What is the capital of Alabama?,Montgomery,1.1737,Alabama,0.702930331,Alabama | Alabama | Alabama,1,Montgomery,1.8543,Alabama,29.49437141,Alabama | Alabama | Alabama,1,
geography_03,geography,What is the largest city in Alabama?,Huntsville,1.1865,Alabama,0.671285629,Alabama | Alabama | Alabama,1,Huntsville,1.9739,Alabama,32.57923889,Alabama | Alabama | Alabama,1,
history_01,history,Who was Abraham Lincoln?,"Abraham Lincoln was the 16th president of the United States, serving from 1861 until his assassination in 1865. He led the United States through the American Civil War, defeating the Confederacy and playing a major role in the abolition of slavery.",15.337,Abraham Lincoln,0.673933387,Abraham Lincoln | Emancipation Proclamation | Andrew Johnson,1,Abraham Lincoln was the 16th President of the United States.,3.7983,Abraham Lincoln,25.72924995,Abraham Lincoln | Abraham Lincoln | Abraham Lincoln,1,
history_02,history,What was the American Civil War?,"The American Civil War was a civil war in the United States between the Union (""the North"") and the Confederacy (""the South""), which was formed in 1861 by states that had seceded from the Union to preserve slavery in the United States.",13.0438,American Civil War,0.738790214,American Civil War | American Civil War | African Americans,1,The American Civil War was a conflict in the United States.,3.6121,American Civil War,25.15179062,American Civil War | May 12 | American Civil War,1,
philosophy_01,philosophy,Who was Aristotle?,"Aristotle (; 384–322 BC) was an ancient Greek philosopher and polymath. His writings span the natural sciences, philosophy, linguistics, economics, politics, psychology, and the arts. As the founder of the Peripatetic school of philosophy in",14.8263,Aristotle,0.711626112,Aristotle | Aristotle | Aristotle,1,"Aristotle was a philosopher who contributed to almost every field of human knowledge then in existence, and was the founder of many new fields.",7.0525,Ammonius Hermiae,13.66893578,Ammonius Hermiae | Avicenna | Aristotle,1,
science_03,science,What is astronomy?,"Astronomy is the study of astronomical objects, such as stars, planets, moons, comets and galaxies, by some combination of observation and the application of astrophysical models.",10.3583,Astronomer,0.735886514,Astronomer | Astronomer | Amateur astronomy,1,"Astronomy is the study of celestial objects, space, and the physical universe as a whole.",5.1376,History of astronomy,15.33787251,History of astronomy | Johannes Kepler | Astronomer,1,
science_04,science,What is an asteroid?,An asteroid is a minor planet—an object larger than a meteoroid (thus 1 meter or larger) that is neither a planet nor an identified comet—that orbits within the inner Solar System or is co-orbital with Jupiter (Trojan asteroids). Asteroids are,16.3715,Asteroid,0.687762856,Asteroid | Meteorite | Meteorite,1,"An asteroid is a small rocky body orbiting the Sun, primarily found in the asteroid belt between Mars and Jupiter.",6.8001,Asteroid,15.47542667,Asteroid | Galileo project | Asteroid,1,
computing_01,computing,What is an algorithm?,An algorithm is a fundamental set of rules or defined procedures that are typically designed and used to be a simpler way to solve a specific problem or a broad set of problems.,9.1327,List of algorithms,0.755571902,List of algorithms | Analysis of algorithms | Algorithm,1,An algorithm is a step-by-step procedure for solving a problem or accomplishing a task.,5.0256,Knapsack problem,14.5574646,Knapsack problem | List of algorithms | List of algorithms,1,
computing_02,computing,What is artificial intelligence?,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.",10.771,Artificial intelligence,0.710896194,Artificial intelligence | Computer science | Computer science,1,Artificial intelligence is technology created with the purpose of altering our understanding of human subjectivity.,5.0305,Artificial intelligence,23.56435394,Artificial intelligence | Art | List of artificial intelligence projects,1,
computing_03,computing,What is ASCII?,ASCII (American Standard Code for Information Interchange) is a character encoding standard for representing a particular set of 95 (English-language–focused) printable and 33 control characters a total of 128 code points.,12.9686,ASCII,0.728394866,ASCII | ASCII | ASCII art,1,ASCII is a character encoding standard that uses 128 characters.,3.3515,ASCII art,15.86517239,ASCII art | ASCII art | ASCII art,1,
geography_04,geography,Where is Alaska located?,Alaska is located in the northwestern regions of North America.,3.7611,Alaska,0.710029721,Alaska | Alaska | Alaska,1,Alaska is located in North America.,2.2966,Alaska,16.86615372,Alaska | Alaska | Alaska,1,
geography_05,geography,What is Australia?,Australia is the country's common language and de facto national language.,4.0961,Australian English,0.598127723,Australian English | Australian Capital Territory | Australian English,0,"Australia is a country in the southern hemisphere, consisting of mainland Australia and several offshore islands.",4.9585,Australian English,12.37467766,Australian English | Adelaide | Australian English,0,
space_01,space,What was Apollo 11?,"Apollo 11 was the American spaceflight that first landed humans on the Moon, and the fifth crewed mission of NASA's Apollo program.",9.115,Apollo 11,0.613930345,Apollo 11 | Apollo program | Apollo 11,1,"Apollo 11 was a spaceflight that launched on July 16, 1969, and was the first manned mission to land on the Moon.",7.613,Apollo 11,19.19347954,Apollo 11 | Apollo 11 | Apollo 12,1,
biology_01,biology,What is an animal?,"An animal is a multicellular, eukaryotic organism of the kingdom Animalia or Metazoa.",7.592,Animal (disambiguation),0.577995241,Animal (disambiguation) | Bestiary | Grammatical gender,1,I don't know.,2.0079,In vitro,14.87790489,In vitro | Mammal | Americans with Disabilities Act of 1990,0.5,
unanswerable_01,unanswerable,Who will be the first person to walk on Mars?,I don't know.,1.8641,Astronaut,0.504191279,Astronaut | Human spaceflight | June 5,1,I don't know.,2.7223,Mars Direct,33.48739243,Mars Direct | Apollo 11 | Mars Direct,1,
