question_id,category,question,FLAN Base Answer,FLAN Base Runtime,FLAN Base Score,FLAN Large Answer,FLAN Large Runtime,FLAN Large Score,Phi-3 Answer,Phi-3 Runtime,Phi-3 Score
definition_01,definition,What is anarchism?,"a political philosophy and movement that seeks to abolish all institutions that perpetuate authority, coercion, or hierarchy, primarily targeting the state and capitalism.",2.3204,1,"political philosophy and movement that seeks to abolish all institutions that perpetuate authority, coercion, or hierarchy",3.1294,1,"Anarchism is a political philosophy and movement that seeks to abolish all institutions that perpetuate authority, coercion, or hierarchy, primarily targeting the state and capitalism. Anarchism advocates for the replacement of the state with stateless societies and voluntary free associations.",17.1456,1
geography_01,geography,Where is Alabama located?,Southeastern United States in North America,0.5465,1,Southeastern and Deep Southern regions of the United States,1.544,1,"Alabama is located in the Southeastern and Deep Southern regions of the United States. It borders Tennessee to the north, Georgia to the east, Florida and the Gulf of Mexico to the south, and Mississippi to the west.",11.8643,1
science_01,science,What is albedo?,The fraction of sunlight that is diffusely reflected by a body.,0.7608,1,the fraction of sunlight that is diffusely reflected by a body,1.7916,1,Albedo is the fraction of sunlight that is diffusely reflected by a body. It is measured on a scale from 0 (corresponding to a black body that absorbs all incident radiation) to 1 (corresponding to a body that reflects all incident radiation).,15.5414,1
science_02,science,What is an atom?,particles,0.3963,0,basic particles of the chemical elements and the fundamental building blocks of matter,1.7026,1,"An atom is the basic particle of the chemical elements and the fundamental building blocks of matter. An atom consists of a nucleus of protons and generally neutrons, surrounded by an electromagnetically bound swarm of electrons. The chemical elements are distinguished from each other by the number of protons that are in their atoms",16.3445,1
education_01,education,What is an academy?,A military university public higher education establishment whose mission is to train officers of the Permanent Staff of the Army.,0.9276,0,An educational institution which prepares candidates for service in the officer corps,1.715,0,A military academy is an educational institution which prepares candidates for service in the officer corps.,5.1915,0
geography_02,geography,What is the capital of Alabama?,Montgomery,0.3986,1,Montgomery,1.2008,1,Montgomery,1.1737,1
geography_03,geography,What is the largest city in Alabama?,Huntsville,0.4183,1,Huntsville,1.2057,1,Huntsville,1.1865,1
history_01,history,Who was Abraham Lincoln?,president of the United States,0.4783,0.5,president,1.1345,0.5,"Abraham Lincoln was the 16th president of the United States, serving from 1861 until his assassination in 1865. He led the United States through the American Civil War, defeating the Confederacy and playing a major role in the abolition of slavery.",15.337,1
history_02,history,What was the American Civil War?,Civil war,0.4031,0.5,civil war in the United States,1.4546,0.5,"The American Civil War was a civil war in the United States between the Union (""the North"") and the Confederacy (""the South""), which was formed in 1861 by states that had seceded from the Union to preserve slavery in the United States.",13.0438,1
philosophy_01,philosophy,Who was Aristotle?,Greek philosopher and polymath,0.5306,1,ancient Greek philosopher and polymath,1.6334,1,"Aristotle (; 384–322 BC) was an ancient Greek philosopher and polymath. His writings span the natural sciences, philosophy, linguistics, economics, politics, psychology, and the arts. As the founder of the Peripatetic school of philosophy in",14.8263,1
science_03,science,What is astronomy?,A hobby,0.4085,0,a specific question or field outside the scope of Earth,1.9376,0,"Astronomy is the study of astronomical objects, such as stars, planets, moons, comets and galaxies, by some combination of observation and the application of astrophysical models.",10.3583,1
science_04,science,What is an asteroid?,A minor planet,0.449,1,a minor planet,1.3433,1,An asteroid is a minor planet—an object larger than a meteoroid (thus 1 meter or larger) that is neither a planet nor an identified comet—that orbits within the inner Solar System or is co-orbital with Jupiter (Trojan asteroids). Asteroids are,16.3715,1
computing_01,computing,What is an algorithm?,a set of rules or defined procedures that are typically designed and used to be a simpler way to solve a specific problem or a broad set of problems.,1.2663,1,a fundamental set of rules or defined procedures that are typically designed and used to be a simpler way to solve a specific problem or a broad set of problems,3.1208,1,An algorithm is a fundamental set of rules or defined procedures that are typically designed and used to be a simpler way to solve a specific problem or a broad set of problems.,9.1327,1
computing_02,computing,What is artificial intelligence?,"a field of research in engineering, mathematics and computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.",1.6422,1,"The capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making",3.1153,1,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.",10.771,1
computing_03,computing,What is ASCII?,acronym for American Standard Code for Information Interchange,0.6148,1,American Standard Code for Information Interchange,1.5659,1,ASCII (American Standard Code for Information Interchange) is a character encoding standard for representing a particular set of 95 (English-language–focused) printable and 33 control characters a total of 128 code points.,12.9686,1
geography_04,geography,Where is Alaska located?,North America,0.4391,0.5,North America,1.1941,0.5,Alaska is located in the northwestern regions of North America.,3.7611,0.5
geography_05,geography,What is Australia?,country,0.3816,0.5,country,1.057,0.5,Australia is the country's common language and de facto national language.,4.0961,0
space_01,space,What was Apollo 11?,The fifth crewed mission of NASA's Apollo program.,0.6909,0.5,spaceflight,1.2519,0.5,"Apollo 11 was the American spaceflight that first landed humans on the Moon, and the fifth crewed mission of NASA's Apollo program.",9.115,1
biology_01,biology,What is an animal?,"multicellular, eukaryotic organism",0.5987,1,"multicellular, eukaryotic organism",2.3401,1,"An animal is a multicellular, eukaryotic organism of the kingdom Animalia or Metazoa.",7.592,1
unanswerable_01,unanswerable,Who will be the first person to walk on Mars?,Alexei Leonov,0.5326,0,I don't know,1.3611,1,I don't know.,1.8641,1
